date,code,open,high,low,close,volume,amount,turnover,pct_change,is_limit_up,is_limit_down
2025-08-19,sz.000009,9.35,9.43,9.28,9.31,26700224,249478413.81,1.0365,-0.5342,0,0
2025-08-20,sz.000009,9.31,9.55,9.28,9.51,32687222,309388329.1,1.2689,2.1482,0,0
2025-08-21,sz.000009,9.49,9.66,9.45,9.5,29737112,283890225.88,1.1544,-0.1052,0,0
2025-08-22,sz.000009,9.48,9.55,9.44,9.52,23206067,220281731.57,0.9008,0.2105,0,0
2025-08-25,sz.000009,9.54,9.66,9.5,9.59,32584762,312006887.33,1.2649,0.7353,0,0
2025-08-26,sz.000009,9.59,9.6,9.5,9.56,20133825,192539936.83,0.7816,-0.3128,0,0
2025-08-27,sz.000009,9.55,9.7,9.42,9.43,32794383,314159980.25,1.2731,-1.0493,0,0
2025-08-28,sz.000009,9.39,9.48,9.17,9.45,30164411,282410855.92,1.171,0.2121,0,0
2025-08-29,sz.000009,9.55,10.02,9.55,9.8,71211869,699768698.07,2.7644,3.7037,0,0
2025-09-01,sz.000009,9.8,9.87,9.63,9.74,42328138,411364420.67,1.6432,-0.6122,0,0
2025-09-02,sz.000009,9.78,10.05,9.72,9.86,61308432,605260413.31,2.38,1.232,0,0
2025-09-03,sz.000009,9.86,10.05,9.73,9.79,44196299,436119658.07,1.7157,-0.7099,0,0
2025-09-04,sz.000009,9.77,10.06,9.6,9.76,59196169,582784338.75,2.298,-0.3064,0,0
2025-09-05,sz.000009,9.75,10.4,9.68,10.3,96149879,972465063.0,3.7325,5.5328,0,0
2025-09-08,sz.000009,10.44,11.3,10.31,11.19,139961326,1507982818.87,5.4332,8.6408,0,0
2025-09-09,sz.000009,11.19,11.45,11.01,11.2,102816504,1152513743.86,3.9913,0.0894,0,0
2025-09-10,sz.000009,11.12,11.28,10.91,10.98,70042671,771934891.56,2.719,-1.9643,0,0
2025-09-11,sz.000009,10.98,11.05,10.8,10.97,54246535,592325247.35,2.1058,-0.0911,0,0
2025-09-12,sz.000009,10.97,11.55,10.54,11.38,134708925,1490404172.8,5.2293,3.7375,0,0
2025-09-15,sz.000009,11.38,11.5,10.88,10.91,85628832,950808614.66,3.3241,-4.1301,0,0
2025-09-16,sz.000009,10.91,10.94,10.58,10.83,52731305,566881634.23,2.047,-0.7333,0,0
2025-09-17,sz.000009,10.81,10.81,10.59,10.68,45109636,482272104.21,1.7511,-1.385,0,0
2025-09-18,sz.000009,10.71,10.74,10.3,10.41,53122220,559183873.87,2.0622,-2.5281,0,0
2025-09-19,sz.000009,10.41,10.56,10.32,10.36,34561819,360251971.73,1.3417,-0.4803,0,0
2025-09-22,sz.000009,10.42,10.51,10.16,10.21,28427689,291243611.05,1.1036,-1.4479,0,0
2025-09-23,sz.000009,10.21,10.43,10.02,10.29,44745525,456845116.19,1.737,0.7835,0,0
2025-09-24,sz.000009,10.21,11.32,10.13,11.32,98285482,1073487011.58,3.8154,10.0097,1,0
2025-09-25,sz.000009,11.56,12.28,11.56,12.08,218314141,2637727208.99,8.4749,6.7138,0,0
2025-09-26,sz.000009,12.18,12.22,11.65,11.69,108476834,1293289900.46,4.211,-3.2285,0,0
2025-09-29,sz.000009,11.76,12.3,11.61,12.02,140033935,1687662137.52,5.4361,2.8229,0,0
2025-09-30,sz.000009,12.62,12.79,12.27,12.46,136849134,1717241084.39,5.3124,3.6606,0,0
2025-10-09,sz.000009,12.57,12.75,12.24,12.29,95749432,1188274204.98,3.717,-1.3644,0,0
2025-10-10,sz.000009,12.46,12.53,12.08,12.15,85176925,1047064744.57,3.3065,-1.1391,0,0
2025-10-13,sz.000009,11.66,11.99,11.66,11.89,69280743,820221341.71,2.6894,-2.1399,0,0
2025-10-14,sz.000009,11.97,12.06,11.32,11.42,71338542,832117360.92,2.7693,-3.9529,0,0
2025-10-15,sz.000009,11.43,11.64,11.23,11.6,53348813,612849812.28,2.071,1.5762,0,0
2025-10-16,sz.000009,11.57,11.71,11.41,11.46,35715612,411406716.49,1.3865,-1.2069,0,0
2025-10-17,sz.000009,11.45,11.5,10.75,10.8,53653715,593094956.16,2.0828,-5.7592,0,0
2025-10-20,sz.000009,10.95,10.98,10.75,10.86,33512355,364291123.23,1.3009,0.5556,0,0
