date,code,open,high,low,close,volume,amount,turnover,pct_change,is_limit_up,is_limit_down
2025-10-09,sh.601211,18.83,18.98,18.66,18.69,249445124,4683706784.17,1.8486,-0.9539,0,0
2025-10-10,sh.601211,18.68,19.4,18.66,18.94,257375072,4911021160.82,1.9073,1.3376,0,0
2025-10-13,sh.601211,18.56,18.79,18.51,18.69,124085929,2311728604.17,0.9196,-1.32,0,0
2025-10-14,sh.601211,18.78,19.08,18.76,18.82,137897496,2603303028.84,1.0219,0.6956,0,0
2025-10-15,sh.601211,18.84,19.08,18.76,19.07,108305115,2052529608.75,0.8026,1.3284,0,0
2025-10-16,sh.601211,19.0,19.26,18.96,19.08,114365652,2183388811.89,0.8475,0.0524,0,0
2025-10-17,sh.601211,19.12,19.24,18.7,18.7,104646217,1985446883.06,0.7755,-1.9916,0,0
2025-10-20,sh.601211,18.88,18.93,18.69,18.74,69622750,1307260807.03,0.516,0.2139,0,0
2025-10-21,sh.601211,18.76,19.17,18.69,18.75,190634283,3593914913.85,1.4127,0.0534,0,0
2025-10-22,sh.601211,18.71,18.75,18.58,18.63,65851867,1227340375.42,0.488,-0.64,0,0
2025-10-23,sh.601211,18.61,18.77,18.46,18.76,68858246,1280707900.86,0.5103,0.6978,0,0
2025-10-24,sh.601211,18.8,18.93,18.69,18.8,102168734,1918563316.56,0.7571,0.2132,0,0
2025-10-27,sh.601211,18.94,19.12,18.8,18.96,191394239,3632843256.49,1.4184,0.8511,0,0
2025-10-28,sh.601211,18.81,18.94,18.77,18.83,101681435,1916100559.04,0.7535,0.1063,0,0
2025-10-29,sh.601211,18.84,19.48,18.8,19.43,247172185,4752640044.03,1.8317,3.1864,0,0
2025-10-30,sh.601211,19.35,19.69,19.21,19.34,180174723,3503211855.29,1.3352,-0.4632,0,0
2025-10-31,sh.601211,19.58,19.6,19.33,19.38,120678882,2348369276.04,0.8943,0.2068,0,0
2025-11-03,sh.601211,19.38,19.63,19.27,19.61,98699344,1923010623.04,0.7314,1.1868,0,0
2025-11-04,sh.601211,19.55,19.79,19.46,19.7,114786176,2251310095.83,0.8506,0.4589,0,0
2025-11-05,sh.601211,19.54,19.71,19.48,19.51,80658841,1579333138.72,0.5977,-0.9645,0,0
2025-11-06,sh.601211,19.6,19.92,19.56,19.79,100392692,1987463579.99,0.744,1.4352,0,0
2025-11-07,sh.601211,19.76,19.87,19.67,19.7,66717983,1318062087.15,0.4944,-0.4548,0,0
2025-11-10,sh.601211,19.71,20.08,19.58,20.03,104881877,2085592437.39,0.7772,1.6751,0,0
2025-11-11,sh.601211,20.1,20.12,19.6,19.63,94929942,1874420762.15,0.7035,-1.997,0,0
2025-11-12,sh.601211,19.71,19.98,19.61,19.8,85799860,1700326313.21,0.6358,0.866,0,0
2025-11-13,sh.601211,19.73,19.99,19.72,19.86,73444163,1456469330.07,0.5443,0.303,0,0
2025-11-14,sh.601211,19.8,19.96,19.73,19.74,58106208,1153831870.47,0.4306,-0.6042,0,0
2025-11-17,sh.601211,19.67,19.69,19.25,19.33,81375984,1579126157.0,0.6031,-2.077,0,0
2025-11-18,sh.601211,19.32,19.58,19.27,19.42,66130476,1285949478.11,0.4901,0.4656,0,0
2025-11-19,sh.601211,19.42,19.85,19.35,19.66,77478829,1527421254.21,0.5742,1.2358,0,0
2025-11-20,sh.601211,19.93,19.98,19.59,19.6,93581625,1849833151.01,0.6935,-0.3052,0,0
2025-11-21,sh.601211,19.51,19.69,18.85,18.87,109808516,2106648759.55,0.8138,-3.7245,0,0
2025-11-24,sh.601211,19.0,19.06,18.69,18.71,69787199,1312769020.35,0.5172,-0.8479,0,0
2025-11-25,sh.601211,18.82,19.15,18.78,19.03,73996809,1408618872.18,0.5484,1.7103,0,0
2025-11-26,sh.601211,19.08,19.08,18.83,18.9,51443404,975089559.97,0.3812,-0.6831,0,0
2025-11-27,sh.601211,18.9,19.09,18.83,19.0,41223781,783008551.08,0.3055,0.5291,0,0
2025-11-28,sh.601211,18.94,19.2,18.86,19.16,53766031,1025738802.91,0.3984,0.8421,0,0
2025-12-01,sh.601211,19.21,19.68,19.15,19.62,89695425,1749310803.89,0.6647,2.4008,0,0
2025-12-02,sh.601211,19.6,19.73,19.49,19.54,52348990,1024749463.67,0.3879,-0.4077,0,0
2025-12-03,sh.601211,19.59,19.67,19.23,19.24,40762825,790965616.91,0.3021,-1.5353,0,0
2025-12-04,sh.601211,19.3,19.36,19.12,19.19,35422780,680816247.59,0.2625,-0.2599,0,0
2025-12-05,sh.601211,19.2,19.92,19.15,19.73,112016434,2195092421.47,0.8301,2.814,0,0
2025-12-08,sh.601211,20.15,20.65,20.14,20.38,232951340,4769170544.22,1.7263,3.2945,0,0
2025-12-09,sh.601211,20.3,20.58,20.18,20.28,88210181,1794008034.28,0.6537,-0.4907,0,0
2025-12-10,sh.601211,20.25,20.38,20.03,20.31,73261098,1480828708.61,0.5429,0.1479,0,0
2025-12-11,sh.601211,20.43,20.43,20.08,20.17,59869643,1211082888.26,0.4437,-0.6893,0,0
2025-12-12,sh.601211,20.11,20.47,19.85,20.33,165284472,3345877705.28,1.2249,0.7933,0,0
2025-12-15,sh.601211,20.26,20.86,20.2,20.55,124909501,2577576385.18,0.9257,1.0821,0,0
2025-12-16,sh.601211,20.51,20.75,20.24,20.28,78982163,1613507252.39,0.5853,-1.3139,0,0
2025-12-17,sh.601211,20.26,20.98,20.14,20.77,131078704,2703223837.43,0.9714,2.4162,0,0
2025-12-18,sh.601211,20.75,20.88,20.57,20.77,76353336,1583514720.57,0.5658,0.0,0,0
2025-12-19,sh.601211,20.74,21.08,20.7,20.87,83930880,1754896487.18,0.622,0.4815,0,0
2025-12-22,sh.601211,20.86,20.96,20.72,20.82,60106582,1252693758.7,0.4454,-0.2396,0,0
2025-12-23,sh.601211,20.81,21.06,20.74,20.82,65590088,1370025982.2,0.4861,0.0,0,0
2025-12-24,sh.601211,20.87,20.96,20.74,20.86,64202626,1338460098.48,0.4758,0.1921,0,0
2025-12-25,sh.601211,20.88,20.9,20.71,20.74,58312839,1212508695.69,0.4321,-0.5753,0,0
2025-12-26,sh.601211,20.69,20.92,20.66,20.76,66206556,1377024027.86,0.4906,0.0964,0,0
2025-12-29,sh.601211,20.73,20.99,20.63,20.72,64154992,1333638518.2,0.4754,-0.1927,0,0
2025-12-30,sh.601211,20.67,20.73,20.48,20.51,70998376,1460746236.89,0.5261,-1.0135,0,0
2025-12-31,sh.601211,20.5,20.88,20.5,20.55,60622969,1251146981.75,0.4493,0.195,0,0
2026-01-05,sh.601211,20.56,20.99,20.53,20.93,109756988,2285126129.58,0.8134,1.8491,0,0
2026-01-06,sh.601211,20.99,22.35,20.97,22.29,268360903,5875767399.94,1.9887,6.4978,0,0
2026-01-07,sh.601211,22.25,22.35,21.96,22.22,130469697,2891689533.08,0.9669,-0.314,0,0
2026-01-08,sh.601211,21.95,21.99,21.24,21.32,167661593,3597726542.48,1.2425,-4.0504,0,0
2026-01-09,sh.601211,21.32,21.49,20.93,21.07,114747666,2429901640.21,0.8504,-1.1726,0,0
2026-01-12,sh.601211,21.08,21.24,20.76,21.07,120411439,2526162468.26,0.8923,0.0,0,0
2026-01-13,sh.601211,21.2,21.61,21.09,21.17,115197660,2460627384.99,0.8537,0.4746,0,0
2026-01-14,sh.601211,21.17,21.6,20.6,20.76,170225340,3587811482.05,1.2615,-1.9367,0,0
2026-01-15,sh.601211,20.66,20.9,20.29,20.37,106614412,2187191758.26,0.7901,-1.8786,0,0
2026-01-16,sh.601211,20.5,20.6,20.02,20.1,147571137,2975776161.27,1.0936,-1.3255,0,0
2026-01-19,sh.601211,20.06,20.22,19.93,20.09,90296161,1812169837.79,0.6692,-0.0498,0,0
2026-01-20,sh.601211,20.08,20.28,20.06,20.18,88719337,1788586122.57,0.6575,0.448,0,0
2026-01-21,sh.601211,20.15,20.21,19.88,19.91,111923958,2241810105.47,0.8294,-1.338,0,0
2026-01-22,sh.601211,19.95,20.31,19.94,19.99,92924562,1866588794.8,0.6886,0.4018,0,0
2026-01-23,sh.601211,20.11,20.19,19.78,19.85,115481698,2303744606.61,0.8558,-0.7004,0,0
2026-01-26,sh.601211,19.85,20.4,19.81,20.0,156772226,3154869268.24,1.1618,0.7557,0,0
2026-01-27,sh.601211,20.0,20.04,19.69,19.79,98204294,1950352053.49,0.7278,-1.05,0,0
2026-01-28,sh.601211,19.95,20.05,19.61,19.63,159530430,3155026654.1,1.1822,-0.8085,0,0
2026-01-29,sh.601211,19.65,20.0,19.33,19.8,181506760,3557939057.4,1.3451,0.866,0,0
2026-01-30,sh.601211,19.8,20.17,19.76,19.83,140080469,2795898856.4,1.0381,0.1515,0,0
2026-02-02,sh.601211,19.8,20.26,19.62,19.67,126534851,2517965457.82,0.9377,-0.8069,0,0
2026-02-03,sh.601211,19.75,19.82,19.25,19.5,120353471,2343152820.39,0.8919,-0.8643,0,0
2026-02-04,sh.601211,19.49,20.03,19.44,19.99,128698591,2555980024.88,0.9537,2.5128,0,0
2026-02-05,sh.601211,19.98,20.34,19.77,20.15,92980811,1865770929.19,0.6891,0.8004,0,0
2026-02-06,sh.601211,20.01,20.18,19.82,19.97,71977837,1441030018.47,0.5334,-0.8933,0,0
2026-02-09,sh.601211,20.17,20.25,20.0,20.19,63614694,1283111846.7,0.4714,1.1017,0,0
2026-02-10,sh.601211,20.23,20.25,20.12,20.14,44648071,900795105.59,0.3309,-0.2476,0,0
2026-02-11,sh.601211,20.15,20.15,19.96,20.01,66486446,1332787836.96,0.4927,-0.6455,0,0
2026-02-12,sh.601211,19.97,20.01,19.85,19.91,52272769,1040978854.92,0.3873,-0.4998,0,0
2026-02-13,sh.601211,19.91,19.96,19.59,19.61,76155938,1503372034.57,0.5642,-1.5068,0,0
2026-02-24,sh.601211,19.66,19.76,19.41,19.42,72450300,1412913762.85,0.5368,-0.9689,0,0
2026-02-25,sh.601211,19.46,19.64,19.33,19.37,92960174,1810649809.74,0.6888,-0.2575,0,0
2026-02-26,sh.601211,19.4,19.43,18.89,18.97,131569198,2505091155.69,0.9748,-2.065,0,0
2026-02-27,sh.601211,18.94,19.04,18.88,18.93,77570569,1468700830.21,0.5747,-0.2109,0,0
2026-03-02,sh.601211,18.82,18.91,18.57,18.83,95549971,1792067814.73,0.7079,-0.5283,0,0
2026-03-03,sh.601211,18.82,19.13,18.67,18.85,102072266,1926088921.5,0.7563,0.1062,0,0
2026-03-04,sh.601211,18.71,18.74,18.24,18.25,105071024,1938609287.03,0.7785,-3.183,0,0
2026-03-05,sh.601211,18.45,18.57,18.27,18.35,56655577,1042516140.47,0.4198,0.5479,0,0
2026-03-06,sh.601211,18.26,18.52,18.26,18.46,56920284,1046614670.58,0.4217,0.5995,0,0
2026-03-09,sh.601211,18.26,18.26,17.87,18.02,91943574,1655373545.59,0.6812,-2.3835,0,0
2026-03-10,sh.601211,18.14,18.29,18.05,18.16,66892290,1213145436.82,0.4956,0.7769,0,0
2026-03-11,sh.601211,18.16,18.24,18.08,18.2,56454328,1025147256.93,0.4183,0.2203,0,0
2026-03-12,sh.601211,18.16,18.23,18.0,18.1,61793718,1119550993.87,0.4578,-0.5495,0,0
2026-03-13,sh.601211,18.0,18.16,17.9,17.94,69105434,1244712607.36,0.512,-0.884,0,0
2026-03-16,sh.601211,17.93,17.96,17.67,17.79,65352909,1160465649.73,0.4842,-0.8361,0,0
2026-03-17,sh.601211,17.82,18.37,17.81,17.94,112435951,2036084515.14,0.833,0.8432,0,0
2026-03-18,sh.601211,17.94,18.03,17.78,17.86,49345409,881725912.29,0.3656,-0.4459,0,0
2026-03-19,sh.601211,17.74,17.77,17.39,17.5,97684383,1711527574.2,0.7238,-2.0157,0,0
2026-03-20,sh.601211,17.49,17.77,17.49,17.54,73961707,1303212605.04,0.548,0.2286,0,0
2026-03-23,sh.601211,17.33,17.34,16.82,16.94,109588931,1871109840.89,0.812,-3.4208,0,0
2026-03-24,sh.601211,17.06,17.29,16.86,17.03,105168932,1795841456.42,0.7792,0.5313,0,0
2026-03-25,sh.601211,17.1,17.34,17.02,17.21,61528942,1057551794.36,0.4559,1.057,0,0
2026-03-26,sh.601211,17.17,17.22,16.69,16.76,91563875,1545973115.02,0.6784,-2.6148,0,0
2026-03-27,sh.601211,16.63,16.88,16.61,16.8,56473404,948142843.96,0.4184,0.2387,0,0
2026-03-30,sh.601211,16.66,16.82,16.58,16.69,69964511,1169103988.33,0.5184,-0.6548,0,0
2026-03-31,sh.601211,16.74,16.97,16.58,16.59,63593801,1063957570.61,0.4712,-0.5992,0,0
2026-04-01,sh.601211,16.83,16.96,16.66,16.9,77647261,1306357948.78,0.5753,1.8686,0,0
2026-04-02,sh.601211,16.85,16.86,16.48,16.55,64930511,1079054852.43,0.4811,-2.071,0,0
2026-04-03,sh.601211,16.65,16.66,16.43,16.47,44990904,744565191.7,0.3333,-0.4834,0,0
2026-04-07,sh.601211,16.46,16.56,16.26,16.29,61859797,1012149247.86,0.4583,-1.0929,0,0
2026-04-08,sh.601211,16.6,16.95,16.6,16.87,112092616,1878624433.26,0.8305,3.5605,0,0
2026-04-09,sh.601211,16.7,16.72,16.37,16.43,89141495,1471981874.4,0.6605,-2.6082,0,0
2026-04-10,sh.601211,16.69,17.36,16.69,17.12,214561778,3672071096.83,1.5897,4.1996,0,0
2026-04-13,sh.601211,16.94,17.3,16.85,17.16,90846328,1556792533.02,0.6731,0.2336,0,0
2026-04-14,sh.601211,17.31,17.32,16.91,17.14,104891788,1789607895.26,0.7772,-0.1166,0,0
2026-04-15,sh.601211,17.17,17.2,17.04,17.05,60913425,1042322541.84,0.4513,-0.5251,0,0
2026-04-16,sh.601211,17.12,17.42,17.08,17.13,126003452,2168018450.5,0.9336,0.4692,0,0
2026-04-17,sh.601211,17.09,17.11,16.92,16.98,88484211,1501809353.56,0.6556,-0.8757,0,0
2026-04-20,sh.601211,17.04,17.08,16.79,16.87,102400576,1732922321.15,0.7587,-0.6478,0,0
2026-04-21,sh.601211,16.85,16.91,16.66,16.75,78879624,1321512072.4,0.5844,-0.7113,0,0
2026-04-22,sh.601211,16.7,17.07,16.62,16.8,118623972,1996090774.97,0.8789,0.2985,0,0
2026-04-23,sh.601211,16.79,16.89,16.68,16.79,95451325,1602017719.45,0.7072,-0.0595,0,0
2026-04-24,sh.601211,16.71,16.77,16.48,16.72,85317189,1418606749.22,0.6321,-0.4169,0,0
2026-04-27,sh.601211,16.59,16.77,16.1,16.23,201120876,3294875117.47,1.4901,-2.9306,0,0
2026-04-28,sh.601211,16.15,16.42,16.06,16.12,151601214,2460913018.42,1.1232,-0.6778,0,0
2026-04-29,sh.601211,16.11,16.19,16.02,16.12,110493963,1778609108.19,0.8187,0.0,0,0
2026-04-30,sh.601211,16.1,16.38,16.04,16.12,135340303,2188524839.18,1.0028,0.0,0,0
2026-05-06,sh.601211,16.17,16.45,16.14,16.27,197192918,3207492736.98,1.461,0.9305,0,0
2026-05-07,sh.601211,16.39,16.43,16.18,16.29,121373719,1974053254.64,0.8993,0.1229,0,0
2026-05-08,sh.601211,16.25,16.33,16.15,16.16,103461640,1677130319.89,0.7666,-0.798,0,0
2026-05-11,sh.601211,16.18,16.27,16.01,16.17,203878859,3286093144.83,1.5106,0.0619,0,0
2026-05-12,sh.601211,16.2,16.23,16.06,16.1,143388474,2314590900.72,1.0624,-0.4329,0,0
2026-05-13,sh.601211,16.1,16.14,15.75,16.02,180250610,2869032103.45,1.3355,-0.4969,0,0
2026-05-14,sh.601211,16.02,16.11,15.7,15.71,119961184,1901937793.3,0.8888,-1.9351,0,0
2026-05-15,sh.601211,15.71,15.76,15.39,15.44,136139919,2120810540.19,1.0087,-1.7187,0,0
2026-05-18,sh.601211,15.4,15.51,15.37,15.45,94884222,1464673394.22,0.703,0.0648,0,0
2026-05-19,sh.601211,15.5,15.54,15.28,15.47,90810287,1400167000.66,0.6728,0.1294,0,0
2026-05-20,sh.601211,15.42,15.42,15.21,15.31,80137445,1227594145.37,0.5937,-1.0343,0,0
2026-05-21,sh.601211,15.45,15.77,15.21,15.23,187919499,2925943262.32,1.3923,-0.5225,0,0
2026-05-22,sh.601211,15.29,15.33,15.02,15.03,114180518,1723526043.44,0.846,-1.3132,0,0
2026-05-25,sh.601211,15.09,15.22,15.01,15.15,78970633,1194111700.13,0.5851,0.7984,0,0
2026-05-26,sh.601211,15.09,15.42,15.06,15.3,110375044,1687039089.21,0.8178,0.9901,0,0
2026-05-27,sh.601211,15.28,15.48,15.07,15.22,108122624,1648607190.87,0.8011,-0.5229,0,0
2026-05-28,sh.601211,15.24,15.25,14.91,14.98,94621707,1421549162.42,0.7011,-1.5769,0,0
2026-05-29,sh.601211,15.0,15.39,14.96,15.38,158560715,2419092491.82,1.1748,2.6702,0,0
2026-06-01,sh.601211,15.34,15.98,15.27,15.87,225589654,3555159044.34,1.6714,3.186,0,0
2026-06-02,sh.601211,15.85,16.4,15.81,16.22,222075786,3583339295.98,1.6454,2.2054,0,0
2026-06-03,sh.601211,16.23,16.42,16.02,16.32,154809915,2517617412.98,1.147,0.6165,0,0
2026-06-04,sh.601211,16.25,16.39,16.08,16.2,99467433,1614600822.24,0.737,-0.7353,0,0
2026-06-05,sh.601211,16.24,16.48,16.22,16.25,112090772,1832982420.02,0.8305,0.3086,0,0
2026-06-08,sh.601211,16.09,16.69,16.07,16.45,171316776,2815755481.84,1.2693,1.2308,0,0
2026-06-09,sh.601211,16.44,16.58,16.28,16.51,99165394,1631423532.95,0.7347,0.3647,0,0
2026-06-10,sh.601211,16.49,17.15,16.43,17.05,205631032,3470818177.84,1.5235,3.2707,0,0
2026-06-11,sh.601211,17.05,17.3,16.9,17.22,148756388,2546757741.59,1.1022,0.9971,0,0
2026-06-12,sh.601211,17.21,17.75,16.96,17.68,202071287,3534033365.11,1.4972,2.6713,0,0
2026-06-15,sh.601211,17.75,18.36,17.34,17.49,268923697,4786718070.81,1.9925,-1.0747,0,0
2026-06-16,sh.601211,17.36,17.9,17.29,17.79,159716320,2824626936.49,1.1834,1.7153,0,0
2026-06-17,sh.601211,17.75,17.95,17.6,17.77,121691881,2164992782.36,0.9016,-0.1124,0,0
2026-06-18,sh.601211,17.71,17.77,17.25,17.28,159987176,2783025190.22,1.1854,-2.7575,0,0
2026-06-22,sh.601211,17.2,18.28,17.15,18.15,233998792,4185351285.26,1.7337,5.0347,0,0
2026-06-23,sh.601211,18.18,18.48,17.82,17.96,191228903,3469442204.18,1.4168,-1.0468,0,0
2026-06-24,sh.601211,17.91,18.23,17.53,17.56,149567688,2651761934.63,1.1082,-2.2272,0,0
2026-06-25,sh.601211,17.59,18.28,17.23,18.12,230611703,4130586440.67,1.7086,3.1891,0,0
2026-06-26,sh.601211,17.83,17.98,17.36,17.4,162713558,2872945014.54,1.2056,-2.0822,0,0
